Cuisine,Coordinates
Breakfast & Brunch; Comfort Food,"(43.6656161, -79.4719662)"
Breakfast & Brunch; Diners,"(43.6443841, -79.4184061)"
Cafes; Coffee & Tea,"(43.6483733, -79.3791523)"
Italian; Mediterranean,"(43.6463518, -79.3901402)"
Bakeries; Desserts,"(43.6710149, -79.3879678)"
Breakfast & Brunch,"(43.6415411, -79.3833149)"
Coffee & Tea; Sandwiches,"(43.6517827, -79.3653704)"
Italian; Bakeries; Sandwiches,"(43.6462928, -79.4090188)"
Tex-Mex; Burgers,"(43.6554176, -79.4134955)"
Street Vendors; Japanese,"(43.6517943, -79.4048971)"
Dim Sum; Asian Fusion,"(43.6473875, -79.3866475)"
Burgers; Sandwiches; Fast Food,"(43.6553057, -79.4026124)"
Chicken Shop; Southern,"(43.6652698, -79.4642439)"
Bars,"(43.6495092428571, -79.4311383428572)"
Burgers,"(43.6875909, -79.3941071)"
Middle Eastern; Salad; Soup,"(43.6536182, -79.3542344)"
Thai; Cambodian,"(43.679296, -79.4377691)"
Canadian (New); Lounges,"(43.7256596, -79.452229187644)"
Vietnamese,"(43.6557231966842, -79.413821129182)"
Parks,"(43.6463211, -79.4149311517555)"
Breakfast & Brunch; French,"(43.6690047, -79.3064618)"
Coffee & Tea; Cafes,"(43.6612327, -79.3384847)"
Sandwiches; Bakeries,"(43.649213, -79.371735)"
Canadian (New); Lounges,"(43.6467198, -79.3905334)"
Cocktail Bars; Comfort Food,"(43.659131, -79.3480803)"
Bagels,"(43.6554432, -79.40257)"
Seafood; Steakhouses; Cocktail Bars,"(43.6455702, -79.3859319)"
French; Seafood; Bistros,"(43.6490277, -79.4204846)"
Ice Cream & Frozen Yogurt; Desserts; Coffee & Tea,"(43.655055, -79.4175587)"
American (Traditional),"(43.668579, -79.395899)"
Japanese; Tapas Bars; Sushi Bars,"(43.6418468, -79.4310779)"
Caribbean; Salad; Cocktail Bars,"(43.6509573, -79.4131854)"
Italian; Pizza,"(43.6551467, -79.4134866)"
Steakhouses; Italian; Seafood,"(43.648505, -79.386687)"
Japanese,"(43.0394489, -80.8828377)"
Caterers; Bakeries; Desserts,"(43.6620741076923, -79.3348892846154)"
Dim Sum,"(43.6659781, -79.3875905)"
Dim Sum,"(44.1473008, -77.4081884)"
Pubs; Irish,"(43.6639293, -79.3689731)"
Pizza; Cocktail Bars,"(43.6435241, -79.4227423)"
Bars,"(43.6492386, -79.421082)"
Mexican,"(43.6645727333333, -79.3255695)"
Wine Bars; Italian,"(43.645138, -79.3973632)"
Fast Food; Poutineries,"(43.648518, -79.3877431)"
Diners; Breakfast & Brunch; American (Traditional),"(43.6613378, -79.3840301)"
Thai; Noodles,"(43.656276, -79.39966675)"
Food Delivery Services; Indian,"(43.671088, -79.3909925)"
Coffee & Tea,"(43.646986, -79.4005755)"
Coffee & Tea,"(43.6511922857143, -79.3752992857143)"
Arcades; Bars,"(43.6517699166667, -79.4092651833333)"
Vietnamese,"(43.654436, -79.398953)"
Mediterranean; Moroccan; Middle Eastern,"(43.6490818, -79.4205073)"
Cafes; Cocktail Bars,"(43.6039517412601, -79.6066578712961)"
Vegan; Vegetarian,"(43.6416536, -79.432112)"
Dim Sum; Seafood; Noodles,"(43.6384591, -79.3801324)"
Ice Cream & Frozen Yogurt,"(43.264206, -79.95369)"
Coffee & Tea; Turkish; Internet Cafes,"(43.707874, -79.3931884)"
Steakhouses; Seafood; Lounges,"(43.64993865, -79.3853803728614)"
Italian,"(43.6695014, -79.3973053)"
Cocktail Bars,"(43.6557298, -79.3843629)"
Canadian (New),"(43.6689007, -79.3826490992657)"
Diners; Canadian (New),"(43.64955685, -79.4203200964309)"
Fast Food; Poutineries,"(43.6434254, -79.4231939)"
Indian,"(43.6631513, -79.4219757)"
Coffee & Tea,"(43.707044, -79.396175)"
Burgers; Breakfast & Brunch; Bars,"(48.437734, -89.2312358)"
Spanish,"(43.6449167, -79.4158356)"
Coffee & Tea,"(43.66267885, -79.3336490710893)"
Delicatessen; Sandwiches,"(43.6653593, -79.4706369)"
Ice Cream & Frozen Yogurt,"(43.6820431, -79.4188975)"
Coffee & Tea,"(43.648113, -79.3844605467909)"
Steakhouses; Bars,"(44.21935025, -76.5134725827835)"
Italian; Venues & Event Spaces,"(43.670032, -79.392816)"
Vietnamese,"(43.7305496217391, -79.4665317)"
Indian,"(43.648552, -79.3720365)"
Tapas Bars,"(43.6487145, -79.3721364)"
Gastropubs,"(43.6705986, -79.3929564300385)"
Japanese; Sushi Bars; Asian Fusion,"(43.6485699, -79.397782)"
Landmarks & Historical Buildings,"(43.6536032, -79.3840054746967)"
Coffee & Tea; Coffee Roasteries; Cafes,"(46.28691031276, -81.7605877215347)"
Dinner Theater; American (Traditional),"(43.8682676, -79.867843)"
Italian; Lounges,"(43.6715676, -79.3884266)"
French,"(43.6712928, -79.3920088)"
Pizza; Turkish,"(43.6797272157895, -79.3415910736842)"
Mexican,"(42.9985193, -81.2596977)"
Chicken Wings; Taiwanese; Fast Food,"(43.6588562, -79.3821679)"
Sushi Bars; Japanese,"(43.66561, -79.387169)"
Sandwiches; Pubs,"(43.66291795, -79.367603875)"
Japanese; Fast Food,"(43.654999, -79.386381)"
Ramen,"(43.648699, -79.397211)"
Japanese; Bars,"(43.666753, -79.385455)"
Sushi Bars; Asian Fusion; Poke,"(43.7075548, -79.3983193)"
Japanese,"(43.264549, -79.9516669)"
Vegetarian; Vegan; Gluten-Free,"(43.2573701, -79.8701871441768)"
Bars; Asian Fusion,"(43.67243925, -79.32075005)"
Steakhouses; Bars; Seafood,"(43.6466575, -79.3749662)"
Japanese; Seafood,"(43.650853, -79.376001)"
Mexican,"(43.6547204, -79.4022615444444)"
Italian; Seafood; Pizza,"(43.8452512623755, -79.5570956086677)"
Italian; Pizza,"(43.6693760153846, -79.4130696038462)"
Desserts; Patisserie/Cake Shop; Bakeries,"(43.7114634, -79.3991804)"
Burgers,"(43.7326128, -79.4038844)"
Persian/Iranian,"(44.1756661, -77.3953268)"
Canadian (New); Cocktail Bars,"(43.6453893, -79.3961396)"
Caribbean; Vegetarian,"(43.6666987, -79.4120339)"
Japanese; Sushi Bars; Tapas Bars,"(43.7047805538461, -79.4069715076923)"
Ramen,"(43.6617704, -79.3791012)"
Asian Fusion; Sushi Bars,"(43.6485093, -79.4206039)"
Mexican,"(43.6430943, -79.4476225)"
Desserts; Patisserie/Cake Shop,"(43.654927, -79.386802)"
Cheesesteaks; Sandwiches,"(43.6490620526316, -79.3915015789474)"
Mediterranean; Middle Eastern; Halal,"(43.664782, -79.385776)"
Coffee & Tea; Sandwiches; Bakeries,"(43.4555829, -80.5090028703017)"
Mexican,"(43.6502871, -79.3887141)"
Caribbean,"(43.6566613846154, -79.3992273846154)"
Bakeries; Delis,"(45.38959455, -75.6865006713083)"
Gluten-Free; Vegetarian; Vegan,"(45.4015413, -75.7193390404712)"
Steakhouses,"(43.6691956, -79.3946177)"
Bakeries; Italian; Delicatessen,"(43.676532, -79.4486337)"
Chinese,"(43.6739865, -79.470624)"
Italian,"(43.6517986, -79.4077909823529)"
Coffee & Tea; Bakeries,"(43.6481395, -79.3897951)"
Coffee & Tea,"(43.6437266, -79.4217317)"
Vegan; Salad; Juice Bars & Smoothies,"(43.7073671, -79.3960657)"
Korean,"(43.6641492, -79.4151744)"
Asian Fusion; Chinese,"(43.6515083, -79.3971185)"
Afghan; Kebab,"(43.669092, -79.386166)"
Breakfast & Brunch; Canadian (New); Bars,"(42.9989753, -79.3623008)"
Bubble Tea,"(43.7387624865723, -79.4020904615362)"
Ramen; Desserts,"(43.6501898, -79.3891371)"
Chinese; Noodles,"(43.6504392, -79.3890162)"
Ramen,"(43.6392301551456, -79.3981945345631)"
Breakfast & Brunch; Chocolatiers & Shops,"(43.6501713, -79.3606229)"
Desserts; Bakeries; Ice Cream & Frozen Yogurt,"(43.6463684, -79.3946189)"
Bakeries,"(43.6584838, -79.488056)"
Hotels; Lounges,"(43.64276815, -79.4269251064553)"
Breakfast & Brunch,"(43.70534519, -79.37521302)"
Barbeque; American (Traditional); Sandwiches,"(43.6522566, -79.3978725)"
Thai,"(43.6523701, -79.3752239)"
Italian,"(43.64498685, -79.3858647904376)"
Middle Eastern; Mediterranean,"(43.705575125, -79.375302)"
Barbeque,"(43.6455733, -79.3523147)"
Korean; Barbeque,"(43.6658803, -79.4067052)"
Pizza; Italian,"(43.2610678, -79.884608)"
Karaoke; Bars,"(43.6582949, -79.3819746)"
Hawaiian; Seafood; Poke,"(43.7384961141496, -79.4024744792377)"
Mexican; Fast Food,"(44.3701519, -79.6688501)"
Bakeries; Cafes; Vegan,"(43.6620144, -79.4249426)"
Macarons; Desserts; Bakeries,"(43.6546609, -79.4016917666667)"
Indonesian; Bars,"(43.701527, -79.397057)"
Portuguese,"(43.6488426, -79.4204081)"
Italian,"(43.6580729, -79.3528151)"
Ramen,"(43.6538924, -79.3987117)"
Japanese; Sushi Bars,"(43.665176, -79.3805944)"
Breakfast & Brunch; Coffee & Tea; Japanese,"(43.6550229, -79.4024342)"
Chinese; Cafes,"(43.6533120769231, -79.3967472307692)"
Cocktail Bars,"(43.6435125, -79.3983672)"
Breakfast & Brunch,"(43.6481903, -79.3776696)"
French; Cafes,"(43.6663836, -79.4040021)"
Italian,"(43.6429936, -79.3829397)"
Middle Eastern,"(43.6550597, -79.3801574)"
Bakeries,"(43.650566, -79.3595768)"
Seafood,"(43.650509, -79.381733)"
Pizza; Turkish,"(43.6680033, -79.3405107)"
Breakfast & Brunch; American (Traditional),"(43.6519542, -79.4083757)"
Cocktail Bars; Breakfast & Brunch; American (Traditional),"(43.6495789, -79.3845764)"
Coffee & Tea; Juice Bars & Smoothies; Health Markets,"(43.6465062, -79.3786735)"
Bakeries; Desserts,"(43.6466621, -79.4060891)"
Bars; Canadian (New),"(43.6428083, -79.3837488)"
Comfort Food; Vegan; Burgers,"(43.6485012, -79.3981119)"
Desserts,"(43.6392636, -79.4428264)"
Japanese; Sushi Bars,"(43.7314478, -79.4040987)"
American (Traditional); Canadian (New),"(43.68766295, -79.394924442644)"
Coffee & Tea; Breakfast & Brunch; Cafes,"(43.6587499, -79.4426654)"
French,"(43.6687048, -79.392296)"
Korean,"(43.6497028, -79.43484755)"
Coffee & Tea; Sandwiches; Ice Cream & Frozen Yogurt,"(43.6527113, -79.4323714)"
Italian; Bars,"(43.6439328, -79.4017977)"
Coffee & Tea,"(43.669586, -79.3799912)"
Coffee & Tea,"(43.656668, -79.4027228)"
Italian,"(43.6513327, -79.4100869)"
Lounges; Cocktail Bars; Whiskey Bars,"(43.647892, -79.3744397)"
Pizza,"(43.6803304, -79.3386108)"
Italian; Pizza,"(43.6490947, -79.391351)"
Japanese; Sushi Bars,"(43.6465062, -79.3786735)"
Seafood; Cajun/Creole; Asian Fusion,"(43.662369, -79.3836933)"
Halal; Falafel; Fast Food,"(43.649964, -79.391021)"
Coffee & Tea; Sandwiches,"(43.6645776, -79.4108225)"
Italian; Seafood,"(43.6573238, -79.3835301)"
Japanese; Breakfast & Brunch; Desserts,"(43.6707664230769, -79.2972065230769)"
Himalayan/Nepalese; Asian Fusion; Diners,"(43.6397421, -79.4415627)"
Sushi Bars; Japanese,"(43.6639083, -79.3800633)"
Sushi Bars,"(44.3210318, -79.8752329)"
Vietnamese,"(43.6659516, -79.3494944)"
Breakfast & Brunch,"(43.6647725, -79.3241912)"
Sushi Bars; Japanese,"(43.70125, -79.397443)"
Museums,"(43.66725785, -79.4001431483655)"
Bars; Cafes; Tabletop Games,"(43.6559759, -79.4093377)"
Greek,"(43.6791027, -79.3434437)"
Cuban,"(43.6509077, -79.450988)"
Vietnamese; Bars,"(43.6478791, -79.401228)"
Seafood; Fish & Chips; British,"(43.7062029, -79.3620344)"
Mexican,"(43.65011, -79.36788325)"
Lebanese; Mediterranean,"(43.7387464727115, -79.4021135444124)"
Salad,"(43.6465062, -79.3786735)"
American (Traditional); Bars; Comfort Food,"(43.6659303, -79.40798)"
Wine Bars; Venues & Event Spaces; Argentine,"(43.6590065, -79.3833435)"
French,"(43.647024, -79.376872)"
Mexican; Vegan,"(43.6502826, -79.3848648)"
Desserts,"(43.6556980833333, -79.3842925416667)"
Wine Bars; Modern European,"(43.6692221, -79.3972109)"
Cocktail Bars; Sports Clubs; American (Traditional),"(43.6443295, -79.3962082)"
Desserts; Fast Food,"(43.640033, -79.379606)"
Pizza,"(43.6661878, -79.4068386)"
Italian,"(43.647051, -79.3941058)"
Bars; Canadian (New); Breakfast & Brunch,"(43.6448571, -79.4161789)"
Pubs,"(43.6488983, -79.3753257)"
Dim Sum; Asian Fusion; Wine Bars,"(43.6724694, -79.3874603)"
Bars; Comfort Food; American (Traditional),"(43.6243562, -80.1464752)"
Pubs,"(43.66453025, -79.3771456436701)"
Bars,"(43.6543073333333, -79.4006466666667)"
Vegan; Juice Bars & Smoothies; Burgers,"(43.6451568, -79.4150060930925)"
Chinese; Vegetarian,"(43.6543701, -79.4022017)"
Latin American; Imported Food,"(43.65483608, -79.4019765)"
Thai; Laotian,"(43.5638372469767, -80.2616995377683)"
Italian; Bars,"(43.6619843, -79.3354156)"
Italian,"(43.8517346, -79.4460211)"
Italian; Pizza; Cafes,"(43.6726132, -79.3886191)"
Pizza; Breakfast & Brunch,"(43.6462935, -79.3900553)"
Canadian (New); Bistros,"(43.6492193, -79.3934602)"
Burgers; Greek,"(43.6798683, -79.3393592)"
Japanese; Poke,"(43.647722, -79.390355)"
Middle Eastern; Halal,"(43.6278011, -79.6262509)"
Vegan,"(43.6570954, -79.4053679)"
Bakeries,"(43.6546273333333, -79.4009166666667)"
Coffee & Tea,"(43.6584396, -79.3524577)"
Japanese,"(43.6145089, -79.49743065)"
Japanese; Sushi Bars,"(43.648505, -79.386687)"
Mediterranean; Middle Eastern,"(43.6771843, -79.3531467)"
Coffee & Tea,"(43.6697693, -79.3918497)"
Chocolatiers & Shops; French,"(43.6798103736842, -79.3411598105263)"
Mexican,"(43.6567669, -79.4070259)"
Hakka; Breakfast & Brunch,"(43.65523, -79.385258)"
Mediterranean; Middle Eastern; Persian/Iranian,"(43.7909947, -79.4184938)"
Mediterranean; Persian/Iranian; Middle Eastern,"(43.7909947, -79.4184938)"
Vietnamese,"(43.6663599857143, -79.3490991285714)"
Korean,"(43.6640285, -79.4157685)"
Japanese,"(43.655255, -79.4142636)"
Italian,"(44.1756661, -77.3953268)"
Korean,"(43.66391747, -79.41743225)"
Canadian (New); Gastropubs,"(43.68451966, -79.318792824)"
Seafood; Fish & Chips; Mediterranean,"(43.6886595, -79.3920366)"
Italian,"(43.7036457875, -79.4136785875)"
Coffee & Tea; Cafes,"(43.6625029, -79.4442007)"
Hawaiian; Sushi Bars; Poke,"(43.6391794, -79.4155701)"
Asian Fusion; Poke; Chicken Shop,"(43.6646405, -79.4129702)"
Thai,"(43.6653407, -79.4679837)"
Creperies; Cafes; Desserts,"(43.6719852, -79.3878498)"
Cocktail Bars,"(43.6550575, -79.4141208)"
Chinese; Noodles,"(43.6511085, -79.383474444692)"
Coffee & Tea,"(43.6567582, -79.4070812)"
Cafes; Bars; Venues & Event Spaces,"(43.6578933, -79.3762815)"
Italian,"(43.702172, -79.397619)"
Italian,"(43.6645934, -79.4024199)"
Japanese,"(43.6496083, -79.4265741)"
Seafood; Portuguese,"(43.6541835, -79.4242423)"
Cafes; Sandwiches; Desserts,"(43.6886085, -79.3920805)"
Japanese; Sushi Bars,"(43.6625918571429, -79.4049887142857)"
Pubs,"(43.6732541, -79.3882426)"
Bars,"(43.666737, -79.38163)"
Lounges; Canadian (New); Diners,"(43.6459092, -79.3813636)"
Coffee & Tea,"(46.5092047, -84.3196334)"
Tea Rooms; Vegetarian,"(43.6623624, -79.4049473)"
Breakfast & Brunch; Salad,"(43.7256596, -79.452229187644)"
Breakfast & Brunch,"(43.705884, -79.3112313666667)"
Indian; Soup; Sandwiches,"(43.64846, -79.3972301)"
Cocktail Bars; Chicken Wings; Latin American,"(44.2215705, -76.5101861893193)"
Vietnamese,"(45.3893805, -75.6879614090463)"
Italian,"(43.6469537, -79.3742887)"
Korean,"(43.6503456, -79.3895418)"
Desserts; Coffee & Tea,"(43.6824417, -79.3286745)"
Turkish,"(43.7304935, -79.4679765)"
Bakeries; Vegan; Gluten-Free,"(43.6555183, -79.4026076)"
Middle Eastern; Diners; Breakfast & Brunch,"(43.69818945, -79.3957275399699)"
Fish & Chips,"(43.6821924, -79.4238943)"
Bagels,"(43.7271471571429, -79.4313765714286)"
Ethiopian,"(43.6826414181818, -79.3275468454545)"
Italian,"(43.6390573, -79.4253614)"
Japanese; Korean,"(44.7463219, -79.8850374)"
Indian; Vegetarian; Gluten-Free,"(43.6726342, -79.3211022)"
Pizza; Italian,"(43.6452974, -79.3897001)"
Vietnamese; Thai; Gluten-Free,"(43.6486938, -79.3960416)"
Tea Rooms,"(43.6497179, -79.3924715)"
Italian; Breakfast & Brunch; French,"(43.6558182, -79.4117175)"
Seafood; Vegetarian; Cocktail Bars,"(43.6495023, -79.4231268)"
Halal; Mediterranean; Kebab,"(43.64576705, -79.4485819997892)"
Soup,"(43.6433067692308, -79.4239555615385)"
Coffee & Tea; Desserts,"(43.666898, -79.345423)"
Ice Cream & Frozen Yogurt,"(43.7067781, -79.3757584)"
Canadian (New); Wine Bars,"(43.647756, -79.378072)"
Poutineries; Sandwiches,"(43.6962817857143, -79.3287110285714)"
Canadian (New); Bars,"(43.6626815714286, -79.4043434285714)"
Breakfast & Brunch,"(43.686406, -79.393642)"
Bubble Tea,"(43.6586568, -79.3846663)"
Dive Bars,"(43.6492509, -79.4219201)"
Mexican,"(43.6653469, -79.4655567)"
Bars; Breakfast & Brunch; Mexican,"(43.6696203, -79.413232)"
Asian Fusion; Taiwanese; Korean,"(45.3903215, -75.6848315164618)"
Cocktail Bars; Tapas/Small Plates; Breakfast & Brunch,"(43.6544295, -79.4230561)"
Mediterranean,"(43.679336, -79.4374231)"
Ice Cream & Frozen Yogurt,"(43.6478693, -79.4012766)"
Delis,"(43.6400792, -79.4011346)"
Coffee & Tea; Juice Bars & Smoothies; Breakfast & Brunch,"(43.6541393, -79.4244361)"
Indian,"(43.6462378, -79.3897669)"
Japanese; Tapas Bars,"(43.6557636, -79.3845946)"
Lounges; Russian,"(44.3954162, -79.6904105)"
Caribbean,"(43.66150665, -79.3835251)"
Desserts; Ice Cream & Frozen Yogurt,"(43.6391703, -79.3858573)"
Bars; Dance Clubs; Music Venues,"(43.6528158, -79.4012412)"
Ethiopian,"(43.216065, -79.940041)"
Caribbean,"(43.6833561, -79.3001385)"
Japanese; Sushi Bars,"(43.67058285, -79.3927546240949)"
Japanese; Sushi Bars,"(43.6945167, -79.4561084)"
Bakeries; Patisserie/Cake Shop,"(43.6449033, -79.3818364)"
Greek,"(43.6795161, -79.3452684428571)"
Thai; Desserts; Noodles,"(43.7067357878788, -79.3894026363636)"
Pubs,"(43.6804838, -79.3378399)"
Indian,"(43.66564835, -79.473500825)"
Ice Cream & Frozen Yogurt,"(43.6776293875, -79.3522509375)"
Pizza; Salad; Tapas/Small Plates,"(43.6549669863636, -79.4143930545455)"
Portuguese; South African,"(43.6622721, -79.3865362)"
Desserts; Bakeries,"(44.75019, -79.8907847)"
Canadian (New); Lounges,"(43.6384669, -79.3902507)"
Asian Fusion; Singaporean,"(43.6487681, -79.3816917928303)"
Sandwiches; Salad,"(43.6481165, -79.3951423)"
Sushi Bars,"(43.6654241, -79.4091785)"
