Hood #,Hood Name,Repr Addr,
1,West Humber-Clairville,"7498 Sigsbee Dr, Mississauga, ON L4T 3S6",
2,Mount Olive-Silverstone-Jamestown,"84 Stevenson Rd, Etobicoke, ON M9V 2B5, Canada",
3,Thistletown-Beaumond Heights,"25 Sandhill Dr, Etobicoke, ON M9V 2Y3, Canada",
4,Rexdale-Kipling,"145 Clearbrooke Cir, Etobicoke, ON M9W 2G2, Canada",
5,Elms-Old Rexdale,"35 Shendale Dr, Etobicoke, ON M9W 2B4, Canada",
6,Kingsview Village-The Westway,"24 St Andrews Blvd, Etobicoke, ON M9R 1V8, Canada",
7,Willowridge-Martingrove-Richview,"2 Holbeach Rd, Etobicoke, ON M9W 3K3, Canada",
8,Humber Heights-Westmount,"44 Crane Ave, Etobicoke, ON M9P 1V2, Canada",
9,Edenbridge-Humber Valley,"46 Edenbridge Dr, Etobicoke, ON M9A 3G1, Canada",
10,Princess-Rosethorn,"68 Prince George Dr, Etobicoke, ON M9A 1Y6, Canada",
11,Eringate-Centennial-West Deane,"109 Richland Crescent, Etobicoke, ON M9C 4C5, Canada",
12,Markland Wood,"56 Bearbury Dr, Etobicoke, ON M9C 2G9, Canada",
13,Etobicoke West Mall,"583 Burnhamthorpe Rd, Etobicoke, ON M9C 2Y3, Canada",
14,Islington-City Centre West,"2 Cancara Gate, Etobicoke, ON M9B 6G6, Canada",
15,Kingsway South,"48 Strath Ave, Etobicoke, ON M8X 1R3, Canada",
16,Stonegate-Queensway,"26 Smithfield Dr, Etobicoke, ON M8Y 3M2, Canada",
17,Mimico (includes Humber Bay Shores),"145 Portland St, Etobicoke, ON M8Y 1B1, Canada",
18,New Toronto,"44 Garnett Janes Rd, Etobicoke, ON M8V 4G6, Canada",
19,Long Branch,"46 Thirty Fifth St, Etobicoke, ON M8W 3K2, Canada",
20,Alderwood,"151 Hallmark Ave, Etobicoke, ON M8W 4K9, Canada",
21,Humber Summit,"166 Toryork Dr, North York, ON M9L 1X6, Canada",
22,Humbermede,"3 Imogene Ave, North York, ON M9M 1N5, Canada",
23,Pelmo Park-Humberlea,"86 Aura Lea Blvd, North York, ON M9M 1K5, Canada",
24,Black Creek,"23 Parson Ct, North York, ON M6M 4Z9, Canada",
25,Glenfield-Jane Heights,"2943 Major MacKenzie Dr W, Maple, ON L6A 1C6, Canada",
26,Downsview-Roding-CFB,"611 Roding St, North York, ON M3M 2A6, Canada",
27,York University Heights,"3929 Keele St, North York, ON M3J 1N6, Canada",
28,Rustic,"35 Liscombe Rd, North York, ON M6L 3A3, Canada",
29,Maple Leaf,,
30,Brookhaven-Amesbury,"25 Martha Eaton Way, North York, ON M6M 5B7, Canada",
31,Yorkdale-Glen Park,"2900 Dufferin St, North York, ON M6B 3S8, Canada",
32,Englemount-Lawrence,"42 Ridgevale Dr, North York, ON M6A 1K8, Canada",
33,Clanton Park,"86 Laurelcrest Ave, North York, ON M3H 2A9, Canada",
34,Bathurst Manor,"124 Combe Ave, North York, ON M3H 4K1, Canada",
35,Westminster-Branson,"56 Antibes Dr, North York, ON M2R 3K5, Canada",
36,Newtonbrook West,"10 Antibes Dr, North York, ON M2R 3K3, Canada",
37,Willowdale West,"6012 Yonge St, North York, ON M2M 3V9, Canada",
38,Lansing-Westgate,"160 Pewter Rd, North York, ON M2N 1H3, Canada",
39,Bedford Park-Nortown,"245 Fairlawn Ave, Brookdale Park, Toronto, ON M5M 1T2, Canada",
40,St. Andrew-Windfields,"15 Berkindale Crescent, North York, ON M2L 2A3, Canada",
41,Bridle Path-Sunnybrook-York Mills,"Bridle Path, Toronto, ON, Canada","43.735707, -79.373749"
42,Banbury-Don Mills,"220 Banbury Rd, North York, ON M3B 3C5, Canada",
43,Victoria Village,"7 Gretna Ave, North York, ON M4A 2H5, Canada",
44,Flemingdon Park,"9 Grenoble Dr, North York, ON M3C 1C3, Canada",
45,Parkwoods Donalda,"65 Avonwick Gate, North York, ON M3A 2M8, Canada",
46,Pleasant View,"175 Brian Dr, North York, ON M2J 3Y8, Canada",
47,Don Valley Village,"3075 Don Mills Rd, North York, ON M2J 3C2, Canada",
48,Hillcrest Village,"59 Mogul Dr, North York, ON M2H 2M8, Canada",
49,Bayview Woods-Steeles,"48 Beardmore Crescent, North York, ON M2K 2P5, Canada",
50,Newtonbrook East,"6080 Yonge St, North York, ON M2M 3W6, Canada",
51,Willowdale East,"5313 Yonge St, North York, ON M2N 5R4, Canada",
52,Bayview Village,"43 Forest Grove Dr, North York, ON M2K 1Z4, Canada",
53,Henry Farm,"4 Virgo Starway, North York, ON M2J 1N7, Canada",
54,O'Connor-Parkview,"2800 St Clair Ave E, East York, ON M4B 1N2, Canada",
55,Thorncliffe Park,"55 Industrial St, East York, ON M4G 3W9, Canada",
56,Leaside Bennington,"190 Laird Dr, East York, ON M4G 3W2, Canada",
57,Broadview North,"1120 Logan Ave, East York, ON M4K 3G7, Canada",
58,Old East York,"170 Memorial Park Ave, East York, ON M4J 2K5, Canada",
59,Danforth - East York,"53 Donlands Ave, Toronto, ON M4J 3N7, Canada",
60,Woodbine-Lumsden,"144 Oak Park Ave, East York, ON M4C 4M8, Canada",
61,Taylor-Massey (formerly Crescent Town),"2A The Market Pl, East York, ON M4C, Canada",
62,East End-Danforth,"46 Glen Oak Dr, Toronto, ON M4E 1Y5, Canada",
63,The Beaches,"2024 Queen St E, Toronto, ON M4L 1H8, Canada",
64,Woodbine Corridor,"130 Oak Park Ave, East York, ON M4C 4M8, Canada",
65,Greenwood-Coxwell,"1426 Gerrard Street E, Toronto, ON M4L 1Z6, Canada",
66,Danforth,"1382 Danforth Ave, Toronto, ON M4J 1M9, Canada",
67,Playter Estates-Danforth,"2300 Danforth Ave, East York, ON M4C 1K6, Canada",
68,North Riverdale,"725 Logan Ave, Toronto, ON M4K 3B9, Canada",
69,Blake-Jones,"533 Greenwood Ave, Toronto, ON M4J 4Y5, Canada",
70,South Riverdale,"765 Queen St E, Toronto, ON M4M 1H3, Canada",
71,Cabbagetown-South St. James Town,"349 Ontario St, Toronto, ON M5A 2V8, Canada",
72,Regent Park,"50 Regent Park Blvd, Toronto, ON M5A 3H6, Canada",
73,Moss Park,"149 Sherbourne St, Toronto, ON M5A 2R5, Canada",
74,North St. James Town,"675 Ontario St, Toronto, ON M4X 1N4, Canada",
75,Church-Yonge Corridor,"789 Yonge St, Toronto, ON M4W 2G8, Canada",
76,Bay Street Corridor,"925 Bay St, Toronto, ON M5S 3L4, Canada",
77,Waterfront Communities-The Island,"20 Bay St, Toronto, ON M5J 2N8, Canada",
78,Kensington-Chinatown,"280 Spadina Ave, Toronto, ON M5T 3A5, Canada",
79,University,"214 College St, Toronto, ON M5T 3A1, Canada",
80,Palmerston-Little Italy,"301 Montrose Ave, Toronto, ON M6G 3G9, Canada",
81,Trinity-Bellwoods,"981 Dundas St W, Toronto, ON M6J 1W4, Canada",
82,Niagara,"30 Ordnance St, Toronto, ON M6K 1A2, Canada",
83,Dufferin Grove,"931 College St, Toronto, ON M6H 1A1, Canada",
84,Little Portugal,"528 Dufferin St, Toronto, ON M6K 2A7, Canada",
85,South Parkdale,"209 Jameson Ave, Toronto, ON M6K 2Y3, Canada",
86,Roncesvalles,"279 Roncesvalles Ave, Toronto, ON M6R 2M3, Canada",
87,High Park-Swansea,"430 Parkside Dr, Toronto, ON M6R 2Z3, Canada",
88,High Park North,"226 Pacific Ave, Toronto, ON M6P 2P5, Canada",
89,Runnymede-Bloor West Village,"98 Ardagh St, Toronto, ON M6S 1Y7, Canada",
90,Junction Area,"3030 Dundas St W, Toronto, ON M6P 1Z3, Canada",
91,Weston-Pelham Park,"1960 Davenport Rd, Toronto, ON M6N 1C2, Canada",
92,Corso Italia-Davenport,"1278 St Clair Ave W, Toronto, ON M6E 1B9, Canada",
93,Dovercourt-Wallace Emerson-Junction,"133 Emerson Ave, Toronto, ON M6H 3T2, Canada",
94,Wychwood,"53 Turner Rd, Toronto, ON M6G 3H7, Canada",
95,Annex,"86 Madison Ave, Toronto, ON M5R 2S4, Canada",
96,Casa Loma,"1 Austin Terrace, Toronto, ON M5R 1X8, Canada",
97,Yonge-St.Clair,"29 A Lonsdale Rd, Toronto, ON M4V 1W4, Canada",
98,Rosedale-Moore Park,"402 Summerhill Ave, Toronto, ON M4W 2E4, Canada",
99,Mount Pleasant East,"282 Belsize Dr, Toronto, ON M4S 1M6, Canada",
100,Yonge-Eglinton,"2245 Yonge St, Toronto, ON M4S 2B1, Canada",
101,Forest Hill South,"78 Dunloe Rd, Toronto, ON M5P 2T6, Canada",
102,Forest Hill North,"49 Shallmar Blvd, Toronto, ON M6C 2K1, Canada",
103,Lawrence Park South,"131 Rosewell Ave, Toronto, ON M4R 2H3, Canada",
104,Mount Pleasant West,"156 Hillsdale Ave E, Toronto, ON M4S 1T5, Canada",
105,Lawrence Park North,"202 Dawlish Ave, Toronto, ON M4N 1J1, Canada",
106,Humewood-Cedarvale,"275 Vaughan Rd, York, ON M6C 2N2, Canada",
107,Oakwood Village,"370 Oakwood Ave, York, ON M6E 2V4, Canada",
108,Briar Hill-Belgravia,"2765 Dufferin St, North York, ON M6B 3R6, Canada",
109,Caledonia-Fairbank,"348 Nairn Ave, York, ON M6E 4H8, Canada",
110,Keelesdale-Eglinton West,"1695 Keele St, York, ON M6M 1K6, Canada",
111,Rockcliffe-Smythe,"787 Jane St, York, ON M6N 4B7, Canada",
112,Beechborough-Greenbrook,"66 Trethewey Dr, York, ON M6M 4B4, Canada",
113,Weston,"91 Rosemount Ave, York, ON M9N 3B6, Canada",
114,Lambton Baby Point,"45 Humbercrest Ln, York, ON M6S 4K6, Canada",
115,Mount Dennis,"57 Bartonville Ave W, York, ON M6M 2B4, Canada",
116,Steeles,"4401 Steeles Ave W, North York, ON M3N 2S4, Canada",
117,L'Amoreaux,"25 Brookmill Blvd, Scarborough, ON M1W 2L5, Canada",
118,Tam O'Shanter-Sullivan,"3410 Sheppard Ave E, Scarborough, ON M1T 3K4, Canada",
119,Wexford-Maryvale,"1979 Lawrence Ave E, Scarborough, ON M1R 2Z2, Canada",
120,Clairlea-Birchmount,"25 Mendelssohn St, Scarborough, ON M1L 0G6, Canada",
121,Oakridge,"57 Patterson Ave, Scarborough, ON M1L 3Y1, Canada",
122,Birchcliffe-Cliffside,"106 Chine Dr, Scarborough, ON M1M 2K9, Canada",
123,Cliffcrest,"3049 Kingston Rd, Scarborough, ON M1M 1P1, Canada",
124,Kennedy Park,"30 Corvette Ave, Scarborough, ON M1K 3G2, Canada",
125,Ionview,"54 Ionview Rd, Scarborough, ON M1K 2Z4, Canada",
126,Dorset Park,"1280 Kennedy Rd, Scarborough, ON M1P 2L5, Canada",
127,Bendale,"1005 Brimley Rd, Scarborough, ON M1P 3E9, Canada",
128,Agincourt South-Malvern West,"105 Invergordon Ave, Scarborough, ON M1S 2Z1, Canada",
129,Agincourt North,"5001 Finch Ave E, Scarborough, ON M1S 5J9, Canada",
130,Milliken,"3025 Kennedy Rd, Toronto, ON M1V 1S7, Canada",
131,Rouge,,
132,Malvern,"31 Tapscott Rd, Scarborough, ON M1B 4Y7, Canada",
133,Centennial Scarborough,"186 Centennial Rd, Scarborough, ON M1C 1Z9, Canada",
134,Highland Creek,"1 Spall Ct, Scarborough, ON M1C 0B1, Canada",
135,Morningside,"2862 Ellesmere Rd, Scarborough, ON M1E 4B8, Canada",
136,West Hill,"121 Homestead Rd, Scarborough, ON M1E 3S1, Canada",
137,Woburn,"840 Markham Rd, Scarborough, ON M1H 2Y2, Canada",
138,Eglinton East,"4635 Tomken Rd, Mississauga, ON L4W 1J9, Canada",
139,Scarborough Village,"3493 Kingston Rd, Scarborough, ON M1M 1R4, Canada",
140,Guildwood,"59 Toynbee Trail, Scarborough, ON M1E 1G1, Canada",
