Name,Address,Cusine
Gyubee Japanese Grill - Dundas,157 Dundas St W,Japanese; Barbeque
Indian Spice Room,717 Queen Street E,Vegetarian; Indian
Olive + Lemon,3604 Major MacKenzie Dr W,Seafood; Pizza; Italian
Pai Northern Thai Kitchen,18 Duncan Street,Thai
Seven Lives Tacos Y Mariscos,69 Kensington Avenue,Mexican
KINKA IZAKAYA ORIGINAL,398 Church St,Japanese; Pubs
Banh Mi Boys,392 Queen Street W,Vietnamese; Sandwiches
Richmond Station,1 Richmond Street W,Canadian (New)
Byblos,11 Duncan Street,Mediterranean; Middle Eastern
Bang Bang Ice Cream and Bakery,93a Ossington Avenue,Desserts; Ice Cream & Frozen Yogurt
Khao San Road,11 Charlotte Street,Thai
Ramen Isshin,421 College Street,Ramen
Blaze Fast-Fire’d Pizza,10 Dundas Street East,Pizza; Salad; Fast Food
Flame Food+Design,2197 Bloor Street W,Canadian (New); Turkish
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Spice Club Indian Cuisine,4532 Kingston Road,Indian
Pearl Diver,100 Adelaide Street E,Seafood; Comfort Food; Breakfast & Brunch
Fahrenheit Coffee,120 Lombard Avenue,Coffee & Tea
The Stockyards,699 St. Clair Avenue W,American (Traditional); Barbeque; Burgers
Mildred’s Temple Kitchen,85 Hanna Avenue,Breakfast & Brunch; Canadian (New)
Ripley’s Aquarium of Canada,288 Bremner Blvd,Aquariums
Scaramouche Restaurant Pasta Bar & Grill,1 Benvenuto Place,French; Bars
JaBistro,222 Richmond Street W,Japanese; Sushi Bars
Lee Restaurant,601 King Street W,Asian Fusion
Katsuya,66 Gerrard Street E,Japanese; Asian Fusion
Hokkaido Ramen Santouka,91 Dundas Street E,Ramen; Noodles
Dönerland,217 Roncesvalles Avenue,Kebab; Mediterranean; Halal
Olive + Lemon,3604 Major MacKenzie Dr W,Italian; Pizza; Seafood
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Barbeque; Japanese; Steakhouses
Dönerland,217 Roncesvalles Avenue,Mediterranean; Kebab; Halal
Eggspectation,483 Bay Street,Breakfast & Brunch; Juice Bars & Smoothies
Alo Restaurant,163 Spadina Avenue,Bars; French
Fresco’s Fish & Chips,201 Augusta Avenue,Fish & Chips; Chicken Wings; Sandwiches
Tinuno,31 Howard Street,Filipino
GB Hand-pulled Noodles,66 Edward Street,Chinese; Noodles
CN Tower,301 Front St W,Landmarks & Historical Buildings; Observatories
Bar Isabel,797 College Street,Spanish; Tapas Bars
KINKA IZAKAYA ANNEX,559 Bloor St W,Japanese; Tapas/Small Plates; Pubs
Wilbur Mexicana,552 King Street W,Mexican
Banh Mi Boys,399 Yonge Street,Vietnamese; Asian Fusion
Indian Spice Room,717 Queen Street E,Vegetarian; Indian
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Barbeque; Japanese; Steakhouses
Spice Club Indian Cuisine,4532 Kingston Road,Indian
Dönerland,217 Roncesvalles Avenue,Kebab; Halal; Mediterranean
Juicy Dumpling,280 Spadina Ave,Dim Sum; Dumplings
Ravi Soups,322 Adelaide Street W,Sandwiches; Soup
Black Camel,4 Crescent Road,Sandwiches
Adamson Barbecue,176 Wicksteed Avenue,Barbeque
Mystic Muffin,113 Jarvis Street,Sandwiches; Middle Eastern; Coffee & Tea
Saku Sushi,478 Queen Street W,Sushi Bars; Japanese
Beerbistro,18 King Street E,Bistros; Beer Bar
Descendant Detroit Style Pizza,1168 Queen Street E,Pizza
BarChef,472 Queen Street W,Lounges; Cocktail Bars
Emma’s Country Kitchen,810 Saint Clair Avenue W,Breakfast & Brunch; Bakeries; Comfort Food
Flame Food+Design,2197 Bloor Street W,Turkish; Canadian (New)
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Japanese; Barbeque; Steakhouses
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Olive + Lemon,3604 Major MacKenzie Dr W,Pizza; Seafood; Italian
Soma Chocolatemaker,443 King Street West,Chocolatiers & Shops; Ice Cream & Frozen Yogurt; Desserts
Sansotei,650 Yonge Street,Ramen
The Keg Steakhouse + Bar - Mansion,515 Jarvis Street,Steakhouses; Bars; Seafood
AGO - Art Gallery of Ontario,317 Dundas Street W,Art Museums
Tsujiri,147 Dundas Street,Tea Rooms; Ice Cream & Frozen Yogurt; Desserts
Tibet Kitchen,1544 Queen Street W,Himalayan/Nepalese
Café Polonez,195 Roncesvalles Avenue,Polish
Beast Restaurant,96 Tecumseth Street,Canadian (New); Breakfast & Brunch
Lamesa Filipino Kitchen,634 St Clair Avenue W,Filipino
Royal Ontario Museum,100 Queen's Park,Museums
Gyubee Japanese Grill - Dundas,157 Dundas St W,Barbeque; Japanese
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Japanese; Barbeque; Steakhouses
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Aanch Modernistic Indian Cuisine,259 Wellington St W,Indian
Ikkousha Ramen,249 Queen Street W,Ramen
Japango,122 Elizabeth Street,Sushi Bars
Wow Sushi,11 Charles Street,Sushi Bars
Nadege,780 Queen Street W,Desserts; Macarons; Patisserie/Cake Shop
Aloette,163 Spadina Avenue,French; Bistros; Diners
Le Sélect Bistro,432 Wellington Street W,French; Coffee & Tea; Breakfast & Brunch
Mira,420A Wellington Street W,Peruvian
Salad King Restaurant,340 Yonge Street,Thai
Yuzu No Hana,236 Adelaide Street W,Sushi Bars; Japanese
Hibiscus,238 Augusta Avenue,Vegan; Vegetarian; Gluten-Free
Olive + Lemon,3604 Major MacKenzie Dr W,Pizza; Italian; Seafood
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Barbeque; Japanese; Steakhouses
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Dönerland,217 Roncesvalles Avenue,Halal; Kebab; Mediterranean
Grand Electric,1330 Queen Street W,Bars; Mexican
Sabai Sabai Kitchen and Bar,81 Bloor Street E,Laotian; Thai; Bars
Bannock,401 Bay Street,Canadian (New); Sandwiches; Breakfast & Brunch
Poke Guys,112 Elizabeth Street,Hawaiian; Poke
Eva’s Original Chimneys,454 Bloor Street W,Desserts; Bakeries; Ice Cream & Frozen Yogurt
Bar Raval,505 College Street,Spanish; Tapas/Small Plates; Cocktail Bars
Cluck Clucks,222 The Esplanade,Chicken Shop; Comfort Food; Sandwiches
Barque Smokehouse,299 Roncesvalles Avenue,Barbeque; Smokehouse
Ruby Watchco,730 Queen Street E,Canadian (New)
Nuit Social,1168 Queen Street W,Cocktail Bars; Modern European; Canadian (New)
Gyubee Japanese Grill - Dundas,157 Dundas St W,Japanese; Barbeque
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Barbeque; Steakhouses; Japanese
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Spice Club Indian Cuisine,4532 Kingston Road,Indian
The Carbon Bar,99 Queen Street E,Barbeque; Bars; American (Traditional)
La Bella Managua,872 Bloor Street W,Latin American; Nicaraguan
Agio,1351 St Clair Avenue W,Italian
Snakes & Lattes Annex,600 Bloor Street W,Bars; Cafes
La Carnita,501 College Street,Mexican
Sukhothai,274 Parliament Street,Thai; Noodles
The Keg Steakhouse + Bar,165 York Street,Steakhouses; Bars; Seafood
Planta Yorkville,1221 Bay Street,Tapas/Small Plates; Pizza; Cocktail Bars
Pow Wow Cafe,213 Augusta Avenue,Canadian (New); Cafes
Burrito Boyz,224 Adelaide Street W,Mexican
Indian Spice Room,717 Queen Street E,Vegetarian; Indian
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Steakhouses; Japanese; Barbeque
Indian Spice Room,717 Queen Street E,Vegetarian; Indian
RYUS Noodle Bar,669 Queen Street W,Ramen
Momofuku Noodle Bar,190 University Avenue,Ramen; Noodles
Hanmoto,2 Lakeview Avenue,Japanese; Asian Fusion
Ryus Noodle Bar,786 Broadview Avenue,Ramen
The Haam,342 Adelaide St W,Japanese; Mexican; Sushi Bars
Swatow Restaurant,309 Spadina Avenue,Chinese
FIKA,28 Kensington Avenue,Coffee & Tea; Sandwiches; Desserts
The Burger’s Priest,463 Queen Street W,Burgers
Moon Bean Coffee Company,30 St. Andrew Street,Coffee & Tea; Coffee Roasteries
Icha Tea,235 Spadina Avenue,Coffee & Tea; Desserts
Tofu Village - House of Soon Tofu,681 Bloor Street W,Korean
Dönerland,217 Roncesvalles Avenue,Kebab; Mediterranean; Halal
Indian Spice Room,717 Queen Street E,Vegetarian; Indian
Gyubee Japanese Grill - Dundas,157 Dundas St W,Barbeque; Japanese
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Japanese; Steakhouses; Barbeque
White Brick Kitchen,641 Bloor Street W,Breakfast & Brunch; Comfort Food
Rustle & Still Café,605 Bloor Street W,Coffee & Tea; Vietnamese
Takht-e Tavoos,1120 College Street,Persian/Iranian
Assembly Chef’s Hall,111 Richmond Street W,Food Court
Pizzeria Libretto Danforth,550 Danforth Avenue,Pizza; Italian
Yummy Yummy Dumplings,79 Huron Street,Chinese; Dumplings; Soup
Levetto,68 Sudbury Street,Italian; Pizza; Salad
La Palette,492 Queen Street W,French; Desserts; Bars
Summer’s Ice Cream,101 Yorkville Avenue,Ice Cream & Frozen Yogurt; Desserts
La Cubana,92 Ossington Avenue,Cuban; Desserts; Sandwiches
Flame Food+Design,2197 Bloor Street W,Turkish; Canadian (New)
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Dönerland,217 Roncesvalles Avenue,Kebab; Halal; Mediterranean
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Barbeque; Japanese; Steakhouses
Bar Buca,75 Portland Street,Bars; Italian; Breakfast & Brunch
The Poke Box,36 Toronto Street,Salad; Poke
Good Fork,1550 Dundas St W,Canadian (New)
Chubby’s Jamaican Kitchen,104 Portland Street,Caribbean
Joso’s,202 Davenport Road,Seafood
Sugo,1279 Bloor Street W,Italian; Sandwiches; Cocktail Bars
Almond Butterfly Cafe & Bakeshop,100 Harbord Street,Bakeries; Cafes; Breakfast & Brunch
Korean Village Restaurant,628 Bloor Street W,Korean
Scaddabush Italian Kitchen & Bar,382 Yonge Street,"Wine Bars; Italian; Beer, Wine & Spirits"
Plentea,1205 Queen Street W,Coffee & Tea; Tea Rooms
Indian Spice Room,717 Queen Street E,Vegetarian; Indian
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Barbeque; Steakhouses; Japanese
Indian Spice Room,717 Queen Street E,Vegetarian; Indian
Gyubee Japanese Grill - Dundas,157 Dundas St W,Barbeque; Japanese
Cluny Bistro & Boulangerie,35 Tank House Lane,French; Wine Bars; Cocktail Bars
Mengrai Thai,82 Ontario Street,Thai; Noodles
Sassafraz,100 Cumberland Street,French
Smoque N’ Bones,869 Queen Street W,Barbeque
Seor Ak San,357 Spadina Avenue,Korean
The Hogtown Vegan,1056 Bloor St. W,Vegan
Tachi,111 Richmond Street W,Sushi Bars; Japanese
Banjara Indian Cuisine,796 Bloor Street W,Indian
Apiecalypse Now!,735 Bloor Street W,Pizza; Vegan; Ice Cream & Frozen Yogurt
Trattoria Nervosa,75 Yorkville Avenue,Italian; Pizza; Salad
Olive + Lemon,3604 Major MacKenzie Dr W,Italian; Pizza; Seafood
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Aanch Modernistic Indian Cuisine,259 Wellington St W,Indian
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Japanese; Steakhouses; Barbeque
Veghed,1199 Dundas Street W,Vegan; Vegetarian
Tandem Coffee,368 King Street E,Coffee & Tea
Odd Seoul,90 Ossington Avenue,Korean; Dive Bars; Asian Fusion
Okonomi House Restaurant,23 Charles Street W,Japanese
HotBlack Coffee,245 Queen Street W,Coffee & Tea; Cafes; Breakfast & Brunch
Egg Bae,189 Augusta Avenue,Breakfast & Brunch
Imm Thai Kitchen,651 College Street,Thai; Noodles
Indie Ale House,2876 Dundas Street W,Breweries; Gastropubs; Pizza
Makkal Chon,1979 Lawrence Avenue E,Korean
STACK,3265 Yonge Street,Barbeque
Gyubee Japanese Grill - Dundas,157 Dundas St W,Barbeque; Japanese
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Spice Club Indian Cuisine,4532 Kingston Road,Indian
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Barbeque; Steakhouses; Japanese
Schnitzel Queen,211 Queen Street E,German; Sandwiches
White Lily Diner,678 Queen Street E,Breakfast & Brunch; Diners
Casa Loma,1 Austin Terrace,Museums
Completo,5 Coady Avenue,Latin American; Fast Food; Comfort Food
Mr.Tonkatsu,520 Bloor Street W,Japanese
The Burger’s Priest,1636 Queen Street E,Burgers
Earls Kitchen + Bar,150 King Street West,Canadian (New); Cocktail Bars
Barberian’s Steak House,7 Elm Street,Steakhouses
Wong’s Ice Cream & Store,617 Gerrard Street E,Ice Cream & Frozen Yogurt; Desserts
Levetto,382 Spadina Avenue,Pizza; Italian; Salad
Indian Spice Room,717 Queen Street E,Indian; Vegetarian
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Steakhouses; Japanese; Barbeque
Dönerland,217 Roncesvalles Avenue,Mediterranean; Kebab; Halal
Indian Spice Room,717 Queen Street E,Indian; Vegetarian
L’Unita Enoteca,134 Avenue Road,Italian
Little Pebbles,160 Baldwin Street,Desserts; Coffee & Tea
Yummy Korean Food Restaurant,620 Bloor Street W,Korean
Sukho Thai,52 Wellington Street E,Thai
Como En Casa,565 Yonge Street,Mexican
Chatime - Dundas,132 Dundas Street W,Coffee & Tea
Union,72A Ossington Avenue,French; Wine Bars
King Taps,Located in First Canadian Place,Lounges; Canadian (New); Breakfast & Brunch
Cafe Crepe,246 Queen Street W,Creperies; Breakfast & Brunch; Coffee & Tea
Salad Days,2 Bloor Street W,Food Stands; Salad
Gyubee Japanese Grill - Dundas,157 Dundas St W,Japanese; Barbeque
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Barbeque; Steakhouses; Japanese
Indian Spice Room,717 Queen Street E,Indian; Vegetarian
Olive + Lemon,3604 Major MacKenzie Dr W,Pizza; Seafood; Italian
Homemade Ramen,263 Spadina Avenue,Chinese; Noodles; Ramen
Honest Weight,2766 Dundas Street W,Seafood; Seafood Markets
Allan Gardens,19 Horticultural Avenue,Parks
Sweet Jesus,106 John Street,Desserts; Ice Cream & Frozen Yogurt; Coffee & Tea
Messini Authentic Gyros,445 Danforth Avenue,Greek; Sandwiches
The Irv Gastro Pub,195 Carlton Street,Burgers; Gastropubs
Soma Chocolatemaker,32 Tank House Lane,Chocolatiers & Shops; Ice Cream & Frozen Yogurt; Desserts
Chadwick’s,268 Howland Avenue,Canadian (New); Comfort Food
Veggie D’Light,160 Baldwin Street,Caribbean; Vegan; Gluten-Free
KINTON RAMEN,51 Baldwin Street,Ramen; Noodles
Dönerland,217 Roncesvalles Avenue,Mediterranean; Halal; Kebab
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Steakhouses; Barbeque; Japanese
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Indian Spice Room,717 Queen Street E,Vegetarian; Indian
Woodlot Restaurant,293 Palmerston Avenue,Vegetarian; Canadian (New); Comfort Food
Pizzeria Libretto,155 University Avenue,Pizza; Italian
Loga’s Corner,216C Close Avenue,Himalayan/Nepalese
Fresh On Bloor,326 Bloor Street W,Vegan; Salad; Soup
iHalo Krunch,831 Queen Street W,Ice Cream & Frozen Yogurt
Si Lom Thai Bistro,534 Church Street,Thai; Noodles; Seafood
Le Gourmand,152 Spadina Avenue,Coffee & Tea; Breakfast & Brunch; Cafes
Forno Cultura,609 King Street W,Bakeries; Coffee & Tea
Tacos El Asador,689 Bloor Street W,Mexican; Latin American
Koh Lipe Thai Kitchen,35 Baldwin Street,Thai
RYUS Noodle Bar,669 Queen Street W,Ramen
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Steakhouses; Barbeque; Japanese
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Aanch Modernistic Indian Cuisine,259 Wellington St W,Indian
Crepe TO,52 Church Street,Creperies
Early Bird Coffee & Kitchen,613 Queen Street W,Coffee & Tea; Breakfast & Brunch
Raku,456 Queen St W,Japanese; Noodles
The Dirty Bird Chicken + Waffles,79 Kensington Avenue,Chicken Shop; Waffles; Burgers
Otto’s Bierhalle,1087 Queen Street W,German
Le Baratin,1600 Dundas Street. W,French
Live Organic Food Bar,264 Dupont Street,Live/Raw Food; Organic Stores; Juice Bars & Smoothies
Kintako Japanese Restaurant,214 Laird Drive,Japanese
Rolltation,207 Dundas Street W,Sushi Bars; Salad; Poke
Flame Food+Design,2197 Bloor Street W,Turkish; Canadian (New)
Indian Spice Room,717 Queen Street E,Vegetarian; Indian
Zaad,348 Bloor Street West,Middle Eastern
RYUS Noodle Bar,669 Queen Street W,Ramen
Carisma,15 Toronto Street,Italian
The Caledonian,856 College Street,Pubs; Scottish; Whiskey Bars
California Sandwiches,244 Claremont Street,Sandwiches
Jules Bistro,147 Spadina Avenue,French
The Wren,1382 Danforth Avenue,Bars; American (Traditional)
Pukka,778 St. Clair Avenue W,Indian
Butter Avenue,477 Queen Street W,Desserts; Bakeries; Macarons
Oyster Boy,872 Queen Street W,Seafood
Jimmy’s Coffee,107 Portland Street,Coffee & Tea
The Hole In the Wall,2867 Dundas Street W,Pubs; Canadian (New)
Dönerland,217 Roncesvalles Avenue,Kebab; Mediterranean; Halal
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Japanese; Steakhouses; Barbeque
Gyubee Japanese Grill - Dundas,157 Dundas St W,Barbeque; Japanese
Le Petit Déjeuner,191 King Street E,Breakfast & Brunch; Belgian
House of Gourmet,484 Dundas St W,Chinese
Tabule Restaurant,2009 Yonge Street,Middle Eastern; Vegan; Vegetarian
KINTON RAMEN,396 Church Street,Ramen; Noodles
Jimmy’s Coffee,191 Baldwin Street,Coffee & Tea
Toronto Island,Toronto Island,Parks; Beaches
COO Café Bread or Rice,1049 Bloor Street W,Japanese; French
FUEL+,471 Church Street,Coffee & Tea; Organic Stores; Juice Bars & Smoothies
Jimmy’s Coffee,84 Gerrard Street W,Coffee & Tea
Arctic Bites,21 Baldwin Street,Ice Cream & Frozen Yogurt
Indian Spice Room,717 Queen Street E,Indian; Vegetarian
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Steakhouses; Barbeque; Japanese
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Kiin,326 Adelaide Street W,Thai
Athens Pastries,509 Danforth Avenue,Bakeries; Mediterranean
Voodoo Child,388 College Street,Coffee & Tea; Cocktail Bars
Bosk,Located in Shangri-La Hotel,Canadian (New)
Local Liberty Village,171 E Liberty Street,Sports Bars; Breakfast & Brunch
The Fish Store & Sandwiches,657 College Street,Sandwiches; Seafood
Tabülè Middle Eastern Cuisine,810 Queen Street E,Middle Eastern
Mangia & Bevi,260 King Street E,Italian; Pizza
Epicure City BOM,72 Gerrard Street W,Korean
Nodo Restaurant,2885 Dundas Street West,Italian
